name,billing_name,print_name,sku,category,brand,unit_price,pack_size,status,stock_qty,gst_rate,unit,step_size,team_id
"W TFC 100 ML","W TFC 100 ML","W TFC 100 ML","86619","NIVEA","NIVEA",186.74,"100 ML",outOfStock,0,18,pcs,1,MA
"SOFT  50 ML","SOFT  50 ML","SOFT  50 ML","89054","NIVEA","NIVEA",108.75,"50 ML",outOfStock,0,18,pcs,1,MA
"SOFT 300 ML","SOFT 300 ML","SOFT 300 ML","89063","NIVEA","NIVEA",543.75,"300 ML",outOfStock,0,18,pcs,1,MA
"SOFT 200 ML","SOFT 200 ML","SOFT 200 ML","89050","NIVEA","NIVEA",374.25,"200 ML",outOfStock,0,18,pcs,1,MA
"SOFT 100 ML","SOFT 100 ML","SOFT 100 ML","89059","NIVEA","NIVEA",217.5,"100 ML",outOfStock,0,18,pcs,1,MA
"SMOOTH MILK NBL 200 ML","SMOOTH MILK NBL 200 ML","SMOOTH MILK NBL 200 ML","99576","NIVEA","NIVEA",247.49,"200 ML",available,44,18,pcs,1,MA
"W SCRUB 150 ML","W SCRUB 150 ML","W SCRUB 150 ML","86681","NIVEA","NIVEA",149.25,"150 ML",outOfStock,0,18,pcs,1,MA
"SG LEMON & OIL","SG LEMON & OIL","SG LEMON & OIL","81067","NIVEA","NIVEA",254.24,"250 ML",outOfStock,0,18,pcs,1,MA
"SG FRANGIPANI & OIL","SG FRANGIPANI & OIL","SG FRANGIPANI & OIL","80863","NIVEA","NIVEA",254.24,"250 ML",outOfStock,0,18,pcs,1,MA
"SG COOL KICK","SG COOL KICK","SG COOL KICK","","NIVEA","NIVEA",242.42,"250 ML",outOfStock,0,5,pcs,1,MA
"SG ACTIVE CLEAN","SG ACTIVE CLEAN","SG ACTIVE CLEAN","","NIVEA","NIVEA",285.71,"250 ML",available,22,5,pcs,1,MA
"DEO PROTECT FEMALE","DEO PROTECT FEMALE","DEO PROTECT FEMALE","85914","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,1,MA
"MEN DARK CREME  30 ML","MEN DARK CREME  30 ML","MEN DARK CREME  30 ML","83928","NIVEA","NIVEA",82.5,"30 ML",available,49,18,pcs,1,MA
"MEN CREAM 30 ML","MEN CREAM 30 ML","MEN CREAM 30 ML","83923","NIVEA","NIVEA",74.25,"30 ML",available,49,18,pcs,1,MA
"OIL CONTROL MFW 100 ML","OIL CONTROL MFW 100 ML","OIL CONTROL MFW 100 ML","88869","NIVEA","NIVEA",194.25,"100 ML",outOfStock,0,18,pcs,1,MA
"DARK SPOT MFW  50 ML","DARK SPOT MFW  50 ML","DARK SPOT MFW  50 ML","88835","NIVEA","NIVEA",96.75,"50 ML",outOfStock,0,18,pcs,1,MA
"DARK SPOT MFW 100 ML","DARK SPOT MFW 100 ML","DARK SPOT MFW 100 ML","88836","NIVEA","NIVEA",194.24,"100 ML",outOfStock,0,18,pcs,1,MA
"ALL IN 1 MFW  50 ML","ALL IN 1 MFW  50 ML","ALL IN 1 MFW  50 ML","81779","NIVEA","NIVEA",111.75,"50 ML",outOfStock,0,18,pcs,1,MA
"ALL IN 1 MFW 100 ML","ALL IN 1 MFW 100 ML","ALL IN 1 MFW 100 ML","81775","NIVEA","NIVEA",246.75,"100 ML",outOfStock,0,18,pcs,1,MA
"RO NATURAL","RO NATURAL","RO NATURAL","82809","NIVEA","NIVEA",186.74,"50 ML",available,7,18,pcs,1,MA
"EXTRA WHITE NBL  75 ML","EXTRA WHITE NBL  75 ML","EXTRA WHITE NBL  75 ML","88330","NIVEA","NIVEA",111.74,"75 ML",available,31,18,pcs,1,MA
"EXTRA WHITE NBL 400 ML","EXTRA WHITE NBL 400 ML","EXTRA WHITE NBL 400 ML","89137","NIVEA","NIVEA",483.73,"400 ML",outOfStock,0,18,pcs,1,MA
"HYDRATION NBL  75 ML","HYDRATION NBL  75 ML","HYDRATION NBL  75 ML","80305","NIVEA","NIVEA",111.74,"75 ML",available,58,18,pcs,1,MA
"BLUE  60 ML","BLUE  60 ML","BLUE  60 ML","80102","NIVEA","NIVEA",112.5,"60 ML",outOfStock,0,18,pcs,1,MA
"BLUE  30 ML","BLUE  30 ML","BLUE  30 ML","80101","NIVEA","NIVEA",67.5,"30 ML",outOfStock,0,18,pcs,1,MA
"BLUE 200 ML","BLUE 200 ML","BLUE 200 ML","80132","NIVEA","NIVEA",392.98,"200 ML",outOfStock,0,18,pcs,1,MA
"BLUE 100 ML","BLUE 100 ML","BLUE 100 ML","80130","NIVEA","NIVEA",206.24,"100 ML",outOfStock,0,18,pcs,1,MA
"DEO COOL KICK","DEO COOL KICK","DEO COOL KICK","82883","NIVEA","NIVEA",254.24,"150 ML",outOfStock,0,18,pcs,1,MA
"BODY MILK NBL  75 ML","BODY MILK NBL  75 ML","BODY MILK NBL  75 ML","99572","NIVEA","NIVEA",63.75,"75 ML",available,14,18,pcs,1,MA
"BODY MILK NBL 200 ML","BODY MILK NBL 200 ML","BODY MILK NBL 200 ML","99574","NIVEA","NIVEA",206.24,"200 ML",outOfStock,0,18,pcs,1,MA
"BODY MILK NBL 400 ML","BODY MILK NBL 400 ML","BODY MILK NBL 400 ML","80204","NIVEA","NIVEA",389.98,"400 ML",outOfStock,0,18,pcs,1,MA
"DEO ACTIVE ORIGINAL","DEO ACTIVE ORIGINAL","DEO ACTIVE ORIGINAL","81600","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,1,MA
"DEO OCEAN","DEO OCEAN","DEO OCEAN","80052","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,1,MA
"OLD DEO POWER CHARGE","OLD DEO POWER CHARGE","OLD DEO POWER CHARGE","82912","NIVEA","NIVEA",173.34,"150 ML",outOfStock,0,18,pcs,1,MA
"DEO PEARL N BEAUTY","DEO PEARL N BEAUTY","DEO PEARL N BEAUTY","83731","NIVEA","NIVEA",230.35,"150 ML",outOfStock,0,18,pcs,1,MA
"OLD DEO SENSITIVE","OLD DEO SENSITIVE","OLD DEO SENSITIVE","82924","NIVEA","NIVEA",161.02,"150 ML",outOfStock,0,18,pcs,1,MA
"DEO SMOOTH SKIN","DEO SMOOTH SKIN","DEO SMOOTH SKIN","82967","NIVEA","NIVEA",254.24,"150 ML",outOfStock,0,18,pcs,1,MA
"DEO FRESH NATURAL","DEO FRESH NATURAL","DEO FRESH NATURAL","81601","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,1,MA
"OLD DEO FRESH FLOWER","OLD DEO FRESH FLOWER","OLD DEO FRESH FLOWER","80058","NIVEA","NIVEA",153.32,"150 ML",outOfStock,0,18,pcs,1,MA
"DEO FRESH COMFORT","DEO FRESH COMFORT","DEO FRESH COMFORT","80055","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,1,MA
"RO PEARL N BEAUTY","RO PEARL N BEAUTY","RO PEARL N BEAUTY","83735","NIVEA","NIVEA",186.74,"50 ML",available,7,18,pcs,1,MA
"RO SMOOTH SKIN","RO SMOOTH SKIN","RO SMOOTH SKIN","82252","NIVEA","NIVEA",186.74,"50 ML",available,30,18,pcs,1,MA
"RO FEMALE P/C","RO FEMALE P/C","RO FEMALE P/C","85908","NIVEA","NIVEA",186.74,"50 ML",available,53,18,pcs,1,MA
"RO COOL KICK","RO COOL KICK","RO COOL KICK","82886","NIVEA","NIVEA",186.74,"50 ML",available,16,18,pcs,1,MA
"RO ACTIVE","RO ACTIVE","RO ACTIVE","82808","NIVEA","NIVEA",186.74,"50 ML",available,1,18,pcs,1,MA
"RO POWER","RO POWER","RO POWER","82914","NIVEA","NIVEA",186.75,"50 ML",outOfStock,0,18,pcs,1,MA
"SOFT  25 ML","SOFT  25 ML","SOFT  25 ML","89053","NIVEA","NIVEA",41.25,"25 ML",available,8,18,pcs,1,MA
"MEN DARK CREME  75 ML","MEN DARK CREME  75 ML","MEN DARK CREME  75 ML","83927","NIVEA","NIVEA",194.25,"75 ML",outOfStock,0,18,pcs,1,MA
"MEN DARK CREME 150 ML","MEN DARK CREME 150 ML","MEN DARK CREME 150 ML","83926","NIVEA","NIVEA",344.23,"150 ML",outOfStock,0,18,pcs,1,MA
"MEN CREME 75 ML","MEN CREME 75 ML","MEN CREME 75 ML","83922","NIVEA","NIVEA",206.25,"75 ML",outOfStock,0,18,pcs,1,MA
"OIL CONTROL MFW  50 ML","OIL CONTROL MFW  50 ML","OIL CONTROL MFW  50 ML","88868","NIVEA","NIVEA",89.25,"50 ML",outOfStock,0,18,pcs,1,MA
"OLD MOIS DARK SPOT 50 ML","OLD MOIS DARK SPOT 50 ML","OLD MOIS DARK SPOT 50 ML","88527","NIVEA","NIVEA",0,"50 ML",outOfStock,0,18,pcs,1,MA
"PUMP MFW 150 ML","PUMP MFW 150 ML","PUMP MFW 150 ML","83943","NIVEA","NIVEA",336.73,"150 ML",outOfStock,0,18,pcs,1,MA
"SHAVING SENSITIVE GEL","SHAVING SENSITIVE GEL","SHAVING SENSITIVE GEL","81740","NIVEA","NIVEA",299.24,"200 ML",available,13,5,pcs,1,MA
"SHAVING SENSITIVE FOAM","SHAVING SENSITIVE FOAM","SHAVING SENSITIVE FOAM 200ML","PCS","NIVEA","NIVEA",316.06,"200 ML",outOfStock,0,2.5,pcs,1,MA
"SHAVING SENSITIVE LOTION","SHAVING SENSITIVE LOTION","SHAVING SENSITIVE LOTION 100ML NO EXPIRY RETURN","81314","NIVEA","NIVEA",243.57,"100 ML",outOfStock,0,5,pcs,1,MA
"W REFRESHING 150 ML","W REFRESHING 150 ML","W REFRESHING 150 ML","86640","NIVEA","NIVEA",168.74,"150 ML",outOfStock,0,18,pcs,1,MA
"W PURIFYING 150 ML","W PURIFYING 150 ML","W PURIFYING 150 ML","86642","NIVEA","NIVEA",183.74,"150 ML",outOfStock,0,18,pcs,1,MA
"EXTRA WHITE NBL 200 ML","EXTRA WHITE NBL 200 ML","EXTRA WHITE NBL 200 ML","89135","NIVEA","NIVEA",247.49,"200 ML",available,11,18,pcs,1,MA
"EVEN TONE  75 ML","EVEN TONE  75 ML","EVEN TONE  75 ML","83801","NIVEA","NIVEA",86.25,"75 ML",outOfStock,0,18,pcs,1,MA
"EVEN TONE 200 ML","EVEN TONE 200 ML","EVEN TONE 200 ML","83805","NIVEA","NIVEA",206.25,"200 ML",outOfStock,0,18,pcs,1,MA
"EVEN TONE 400 ML","EVEN TONE 400 ML","EVEN TONE 400 ML","83807","NIVEA","NIVEA",318.75,"400 ML",outOfStock,0,18,pcs,1,MA
"COCOA NBL  75 ML","COCOA NBL  75 ML","COCOA NBL  75 ML","88408","NIVEA","NIVEA",111.75,"75 ML",outOfStock,0,18,pcs,1,MA
"COCOA NBL 200 ML","COCOA NBL 200 ML","COCOA NBL 200 ML","88409","NIVEA","NIVEA",247.49,"200 ML",available,14,18,pcs,1,MA
"COCOA NBL 400 ML","COCOA NBL 400 ML","COCOA NBL 400 ML","88411","NIVEA","NIVEA",423.75,"400 ML",outOfStock,0,18,pcs,1,MA
"HYDRATION NBL 200 ML","HYDRATION NBL 200 ML","HYDRATION NBL 200 ML","99575","NIVEA","NIVEA",232.49,"200 ML",available,13,18,pcs,1,MA
"HYDRATION NBL 400 ML","HYDRATION NBL 400 ML","HYDRATION NBL 400 ML","83825","NIVEA","NIVEA",449.23,"400 ML",outOfStock,0,18,pcs,1,MA
"SMOOTH MILK NBL  75 ML","SMOOTH MILK NBL  75 ML","SMOOTH MILK NBL  75 ML","99573","NIVEA","NIVEA",97.5,"75 ML",outOfStock,0,18,pcs,1,MA
"SMOOTH MILK NBL 400 ML","SMOOTH MILK NBL 400 ML","SMOOTH MILK NBL 400 ML","80213","NIVEA","NIVEA",423.73,"400 ML",outOfStock,0,18,pcs,1,MA
"ESSENTIAL BLISTER 10 G","ESSENTIAL BLISTER 10 G","ESSENTIAL BLISTER 10 G","85281","NIVEA","NIVEA",55.27,"10 G",available,5,18,pcs,1,MA
"LIP STRAWBERRY","LIP STRAWBERRY","LIP STRAWBERRY","85083","NIVEA","NIVEA",191.6,"4.8 G",available,28,18,pcs,1,MA
"LIP CHERRY","LIP CHERRY","LIP CHERRY","85077","NIVEA","NIVEA",191.6,"4.8 G",available,14,18,pcs,1,MA
"LIP PEACH","LIP PEACH","LIP PEACH","85031","NIVEA","NIVEA",191.6,"4.8 G",available,3,18,pcs,1,MA
"LIP SOFT ROSE","LIP SOFT ROSE","LIP SOFT ROSE","85066","NIVEA","NIVEA",191.6,"4.8 G",available,14,18,pcs,1,MA
"LIP ORIGINAL","LIP ORIGINAL","LIP ORIGINAL","85061","NIVEA","NIVEA",128.96,"4.8 G",outOfStock,0,18,pcs,1,MA
"LIP MEN ACTIVE","LIP MEN ACTIVE","LIP MEN ACTIVE","85152","NIVEA","NIVEA",128.96,"4.8 G",outOfStock,0,18,pcs,1,MA
"SG ENERGY","SG ENERGY","SG ENERGY","","NIVEA","NIVEA",242.42,"250 ML",outOfStock,0,5,pcs,1,MA
"SG VITALITY FRESH","SG VITALITY FRESH","SG VITALITY FRESH","","NIVEA","NIVEA",242.42,"250 ML",outOfStock,0,5,pcs,1,MA
"SG PURE IMPACT","SG PURE IMPACT","SG PURE IMPACT","","NIVEA","NIVEA",285.71,"250 ML",outOfStock,0,5,pcs,1,MA
"500ML SG PURE IMPACT","500ML SG PURE IMPACT","500ML SG PURE IMPACT","80893","NIVEA","NIVEA",422.96,"500 ML",available,12,18,pcs,1,MA
"SG CREME CARE","SG CREME CARE","SG CREME CARE","83625","NIVEA","NIVEA",192.6,"250 ML",available,68,18,pcs,1,MA
"SG CREME SOFT","SG CREME SOFT","SG CREME SOFT","80802","NIVEA","NIVEA",254.24,"250 ML",outOfStock,0,18,pcs,1,MA
"SG WATER LILY & OIL","SG WATER LILY & OIL","SG WATER LILY & OIL","80789","NIVEA","NIVEA",254.24,"250 ML",outOfStock,0,18,pcs,1,MA
"SG FRUIT RELAX","SG FRUIT RELAX","SG POWERFRUIT RELAX","81069","NIVEA","NIVEA",192.6,"250 ML",available,72,18,pcs,1,MA
"SUN SPF30  75 ML","SUN SPF30  75 ML","SUN SPF30  75 ML","85597","NIVEA","NIVEA",276.34,"75 ML",outOfStock,0,18,pcs,1,MA
"SUN SPF30 125 ML","SUN SPF30 125 ML","SUN SPF30 125 ML","85572","NIVEA","NIVEA",383.2,"125 ML",outOfStock,0,18,pcs,1,MA
"SUN SPF50 125 ML","SUN SPF50 125 ML","SUN SPF50 125 ML","85661","NIVEA","NIVEA",662.49,"125 ML",available,8,18,pcs,1,MA
"SUN SPF50  75 ML","SUN SPF50  75 ML","SUN SPF50  75 ML","85673","NIVEA","NIVEA",405.31,"75 ML",available,24,18,pcs,1,MA
"LIP BLACKBERRY","LIP BLACKBERRY","LIP BLACKBERRY","85286","NIVEA","NIVEA",191.6,"4.8 G",available,10,18,pcs,1,MA
"FRUITY BLISTER 10 G","FRUITY BLISTER 10 G","FRUITY BLISTER 10 G","852820490133","NIVEA","NIVEA",0,"10 G",outOfStock,0,18,pcs,1,MA
"SG FRESH PURE","SG FRESH PURE","SG FRESH PURE","83629","NIVEA","NIVEA",192.6,"250 ML",available,57,18,pcs,1,MA
"RO MEN P/C","RO MEN P/C","RO MEN P/C","85948","NIVEA","NIVEA",186.74,"50 ML",available,13,18,pcs,1,MA
"25ML RO ACTIVE","25ML RO ACTIVE","25ML RO ACTIVE","82819","NIVEA","NIVEA",93.75,"25 ML",available,10,18,pcs,1,MA
"25ML RO SMOOTH SKIN","25ML RO SMOOTH SKIN","25ML RO SMOOTH SKIN","82864","NIVEA","NIVEA",93.75,"25 ML",available,51,18,pcs,1,MA
"25ML RO COOL KICK","25ML RO COOL KICK","25ML RO COOL KICK","82978","NIVEA","NIVEA",93.75,"25 ML",available,26,18,pcs,1,MA
"25ML RO PEARL & BEAUTY","25ML RO PEARL & BEAUTY","25ML RO PEARL & BEAUTY","83734","NIVEA","NIVEA",93.75,"25 ML",available,179,18,pcs,1,MA
"DEO PROTECT MALE","DEO PROTECT MALE","DEO PROTECT MALE","85953","NIVEA","NIVEA",242.68,"150 ML",outOfStock,0,18,pcs,1,MA
"500ML SG ACTIVE CLEAN","500ML SG ACTIVE CLEAN","500ML SG ACTIVE CLEAN","84046","NIVEA","NIVEA",422.96,"500 ML",available,6,18,pcs,1,MA
"ALOE NBL 200 ML","ALOE NBL 200 ML","ALOE NBL 200 ML","87400","NIVEA","NIVEA",224.25,"200 ML",outOfStock,0,18,pcs,1,MA
"ALOE NBL  75 ML","ALOE NBL  75 ML","ALOE NBL  75 ML","87414","NIVEA","NIVEA",90,"75 ML",outOfStock,0,18,pcs,1,MA
"ALOE NBL 400 ML","ALOE NBL 400 ML","ALOE NBL 400 ML","88397","NIVEA","NIVEA",449.25,"400 ML",outOfStock,0,18,pcs,1,MA
"DEO DEEP IMPACT","DEO DEEP IMPACT","DEO DEEP IMPACT","80027","NIVEA","NIVEA",230.35,"150 ML",available,18,18,pcs,1,MA
"RO DEEP IMPACT","RO DEEP IMPACT","RO DEEP IMPACT","80031","NIVEA","NIVEA",186.74,"50 ML",available,12,18,pcs,1,MA
"DEEP IMPACT MFW 100 ML","DEEP IMPACT MFW 100 ML","DEEP IMPACT MFW 100 ML","81787","NIVEA","NIVEA",213.75,"100 ML",outOfStock,0,18,pcs,1,MA
"SG DEEP IMPACT","SG DEEP IMPACT","SG DEEP IMPACT","","NIVEA","NIVEA",285.71,"250 ML",outOfStock,0,5,pcs,1,MA
"LIP WATERMELON","LIP WATERMELON","LIP WATERMELON","85236","NIVEA","NIVEA",191.6,"4.8 G",available,5,18,pcs,1,MA
"SOFT JAR  25 ML","SOFT JAR  25 ML","SOFT JAR  25 ML","890530490140","NIVEA","NIVEA",495,"11+1",outOfStock,0,18,pcs,1,MA
"LIP POMEGRANATE","LIP POMEGRANATE","LIP POMEGRANATE","85207","NIVEA","NIVEA",191.6,"4.8 G",available,43,18,pcs,1,MA
"MD GRAMFLOUR 100G","MD GRAMFLOUR 100G","MD GRAMFLOUR 100G","87416","NIVEA","NIVEA",172.49,"100 G",available,14,18,pcs,1,MA
"MD GRAMFLOUR  50G","MD GRAMFLOUR  50G","MD GRAMFLOUR  50G","87417","NIVEA","NIVEA",86.25,"50 G",outOfStock,0,18,pcs,1,MA
"MD ROSE WATER 100G","MD ROSE WATER 100G","MD ROSE WATER 100G","87430","NIVEA","NIVEA",172.49,"100 G",available,6,18,pcs,1,MA
"MD ROSE WATER  50G","MD ROSE WATER  50G","MD ROSE WATER  50G","87431","NIVEA","NIVEA",86.25,"50 G",outOfStock,0,18,pcs,1,MA
"MD HONEY 100G","MD HONEY 100G","MD HONEY 100G","87440","NIVEA","NIVEA",172.49,"100 G",outOfStock,0,18,pcs,1,MA
"MD HONEY  50G","MD HONEY  50G","MD HONEY  50G","87441","NIVEA","NIVEA",86.25,"50 G",outOfStock,0,18,pcs,1,MA
"MD SAFFRON 100G","MD SAFFRON 100G","MD SAFFRON 100G","87449","NIVEA","NIVEA",172.49,"100 G",available,9,18,pcs,1,MA
"MD SAFFRON  50G","MD SAFFRON  50G","MD SAFFRON  50G","87450","NIVEA","NIVEA",74.25,"50 G",outOfStock,0,18,pcs,1,MA
"SS BERRY 100ML","SS BERRY 100ML","SS BERRY 100ML","80182","NIVEA","NIVEA",217.49,"100 ML",outOfStock,0,18,pcs,1,MA
"SS BERRY 200ML","SS BERRY 200ML","SS BERRY 200ML","80183","NIVEA","NIVEA",336.73,"200 ML",available,8,18,pcs,1,MA
"25ML RO SENSITIVE","25ML RO SENSITIVE","25ML RO SENSITIVE","82254","NIVEA","NIVEA",93.75,"25 ML",available,31,18,pcs,1,MA
"125ML LEMON OIL SGEL","125ML LEMON OIL SGEL","125ML LEMON OIL SGEL","84581","NIVEA","NIVEA",104.01,"125 ML",available,8,18,pcs,1,MA
"125ML WATER LILY SGEL","125ML WATER LILY SGEL","125ML WATER LILY SGEL","84582","NIVEA","NIVEA",104.01,"125 ML",available,17,18,pcs,1,MA
"125ML FRANGIPANI SGEL","125ML FRANGIPANI SGEL","125ML FRANGIPANI SGEL","84583","NIVEA","NIVEA",104.01,"125 ML",available,40,18,pcs,1,MA
"125ML FRESH PURE SGEL","125ML FRESH PURE SGEL","125ML FRESH PURE SGEL","84584","NIVEA","NIVEA",104.01,"125 ML",available,34,18,pcs,1,MA
"25ML RO NATURAL","25ML RO NATURAL","25ML RO NATURAL","82820","NIVEA","NIVEA",93.75,"25 ML",available,60,18,pcs,1,MA
"RO SENSITIVE","RO SENSITIVE","RO SENSITIVE","83781","NIVEA","NIVEA",186.74,"50 ML",available,13,18,pcs,1,MA
"RO SILVER","RO SILVER","RO SILVER","83778","NIVEA","NIVEA",186.74,"50 ML",available,22,18,pcs,1,MA
"ACNE MFW 100 ML","ACNE MFW 100 ML","ACNE MFW 100 ML","82378","NIVEA","NIVEA",194.25,"100 ML",outOfStock,0,18,pcs,1,MA
"ACNE MFW  50 ML","ACNE MFW  50 ML","ACNE MFW  50 ML","82379","NIVEA","NIVEA",89.25,"50 ML",outOfStock,0,18,pcs,1,MA
"CHARCOAL FW 100 ML","CHARCOAL FW 100 ML","CHARCOAL FW 100 ML","83940","NIVEA","NIVEA",206.25,"100 ML",outOfStock,0,18,pcs,1,MA
"CHARCOAL FW  50 ML","CHARCOAL FW  50 ML","CHARCOAL FW  50 ML","83941","NIVEA","NIVEA",97.5,"50 ML",outOfStock,0,18,pcs,1,MA
"500ML SG LEMON","500ML SG LEMON","500ML SG LEMON","84469","NIVEA","NIVEA",422.96,"500 ML",available,10,18,pcs,1,MA
"500ML SG FRANGIPANI","500ML SG FRANGIPANI","500ML SG FRANGIPANI","84557","NIVEA","NIVEA",422.96,"500 ML",available,1,18,pcs,1,MA
"MD TURMERIC  50G","MD TURMERIC  50G","MD TURMERIC  50G","86958","NIVEA","NIVEA",74.25,"50 G",outOfStock,0,18,pcs,1,MA
"MD TURMERIC 100G","MD TURMERIC 100G","MD TURMERIC 100G","86959","NIVEA","NIVEA",172.49,"100 G",available,13,18,pcs,1,MA
"DEEP IMPACT MFW  50 ML","DEEP IMPACT MFW  50 ML","DEEP IMPACT MFW  50 ML","84416","NIVEA","NIVEA",97.5,"50 ML",available,1,18,pcs,1,MA
"BODY MILK NBL  50 ML","BODY MILK NBL  50 ML","BODY MILK NBL  50 ML","96801","NIVEA","NIVEA",41.25,"50 ML",outOfStock,0,18,pcs,1,MA
"OLD DEO 42K","OLD DEO 42K","OLD DEO 42K","85394","NIVEA","NIVEA",0,"150 ML",outOfStock,0,18,pcs,1,MA
"BLUE JAR 25ML 11+1","BLUE JAR 25ML 11+1","BLUE JAR 25ML 11+1","80140","NIVEA","NIVEA",536.25,"11+1",outOfStock,0,18,pcs,1,MA
"OLD ALOE SPF15  75 ML","OLD ALOE SPF15  75 ML","OLD ALOE SPF15  75 ML","85737","NIVEA","NIVEA",111.74,"75 ML",outOfStock,0,18,pcs,1,MA
"ALOE SPF15 NBL 200 ML","ALOE SPF15 NBL 200 ML","ALOE SPF15 NBL 200 ML","85738","NIVEA","NIVEA",262.5,"200 ML",outOfStock,0,18,pcs,1,MA
"ALOE SPF15 NBL 400 ML","ALOE SPF15 NBL 400 ML","ALOE SPF15 NBL 400 ML","85804","NIVEA","NIVEA",483.73,"400 ML",outOfStock,0,18,pcs,1,MA
"OLD MEN FRESH GEL 75 ML","OLD MEN FRESH GEL 75 ML","OLD MEN FRESH GEL 75 ML","82518","NIVEA","NIVEA",0,"75 ML",outOfStock,0,18,pcs,1,MA
"SS PEACH  50ML","SS PEACH  50ML","SS PEACH  50ML","85875","NIVEA","NIVEA",97.5,"50 ML",outOfStock,0,18,pcs,1,MA
"SS PEACH 100ML","SS PEACH 100ML","SS PEACH 100ML","85876","NIVEA","NIVEA",217.49,"100 ML",outOfStock,0,18,pcs,1,MA
"SS PEACH 200ML","SS PEACH 200ML","SS PEACH 200ML","85877","NIVEA","NIVEA",374.23,"200 ML",outOfStock,0,18,pcs,1,MA
"SS POMEGRANATE  50ML","SS POMEGRANATE  50ML","SS POMEGRANATE  50ML","85878","NIVEA","NIVEA",97.5,"50 ML",outOfStock,0,18,pcs,1,MA
"SS POMEGRANATE 100ML","SS POMEGRANATE 100ML","SS POMEGRANATE 100ML","85879","NIVEA","NIVEA",217.49,"100 ML",outOfStock,0,18,pcs,1,MA
"SS POMEGRANATE 200ML","SS POMEGRANATE 200ML","SS POMEGRANATE 200ML","85880","NIVEA","NIVEA",336.73,"200 ML",available,24,18,pcs,1,MA
"BLUE  25 ML","BLUE  25 ML","BLUE  25 ML","","NIVEA","NIVEA",48.75,"25 ML",outOfStock,0,18,pcs,1,MA
"GEL ALOE LOTION  75 ML","GEL ALOE LOTION  75 ML","GEL ALOE LOTION  75 ML","98414","NIVEA","NIVEA",111.75,"75 ML",outOfStock,0,18,pcs,1,MA
"GEL ALOE LOTION 200 ML","GEL ALOE LOTION 200 ML","GEL ALOE LOTION 200 ML","98417","NIVEA","NIVEA",224.24,"200 ML",outOfStock,0,18,pcs,1,MA
"GEL ROSE LOTION  75 ML","GEL ROSE LOTION  75 ML","GEL ROSE LOTION  75 ML","98415","NIVEA","NIVEA",111.75,"75 ML",outOfStock,0,18,pcs,1,MA
"GEL ROSE LOTION 200 ML","GEL ROSE LOTION 200 ML","GEL ROSE LOTION 200 ML","98418","NIVEA","NIVEA",247.49,"200 ML",outOfStock,0,18,pcs,1,MA
"GEL ALOE LOTION 400 ML","GEL ALOE LOTION 400 ML","GEL ALOE LOTION 400 ML","98420","NIVEA","NIVEA",359.23,"400 ML",outOfStock,0,18,pcs,1,MA
"GEL ROSE LOTION 400 ML","GEL ROSE LOTION 400 ML","GEL ROSE LOTION 400 ML","98421","NIVEA","NIVEA",359.23,"400 ML",outOfStock,0,18,pcs,1,MA
"25ML RO PINK","25ML RO PINK","25ML RO PINK","98501","NIVEA","NIVEA",93.75,"25 ML",available,23,18,pcs,1,MA
"RO BLACK","RO BLACK","RO BLACK","85346","NIVEA","NIVEA",186.74,"50 ML",available,24,18,pcs,1,MA
"RO PINK","RO PINK","RO PINK","98500","NIVEA","NIVEA",186.74,"50 ML",available,29,18,pcs,1,MA
"DEO PINK RADIANCE","DEO PINK RADIANCE","DEO PINK RADIANCE","85348","NIVEA","NIVEA",254.24,"150 ML",outOfStock,0,18,pcs,1,MA
"OLD DEO POWER BOOST","OLD DEO POWER BOOST","OLD DEO POWER BOOST","82921","NIVEA","NIVEA",173.34,"150 ML",outOfStock,0,18,pcs,1,MA
"OLD DEO SPORT","OLD DEO SPORT","OLD DEO SPORT","83770","NIVEA","NIVEA",161.79,"150 ML",outOfStock,0,18,pcs,1,MA
"OLD SG APRICOT 300ML","OLD SG APRICOT 300ML","OLD SG APRICOT 300ML","89714","NIVEA","NIVEA",384.44,"300 ML",outOfStock,0,18,pcs,1,MA
"OLD SG RASPBERRY 300ML","OLD SG RASPBERRY 300ML","OLD SG RASPBERRY 300ML","85583","NIVEA","NIVEA",384.44,"300 ML",outOfStock,0,18,pcs,1,MA
"KE SP NEEM & TULSI 100GM","KE SP NEEM & TULSI 100GM","KE SOAP NEEM & TULSI 100GM","","TAC","TAC",57.2,"100 GM",available,37,18,pcs,1,MA
"KE SP VITA C & ORA 100GM","KE SP VITA C & ORA 100GM","KE SOAP VITAMIN C & ORANGE 100GM","","TAC","TAC",57.2,"100 GM",available,36,18,pcs,1,MA
"KE SP MINT 100GM","KE SP MINT 100GM","KE SOAP MINT 100GM","","TAC","TAC",57.2,"100 GM",available,41,18,pcs,1,MA
"KE SP ALOEVERA 100GM","KE SP ALOEVERA 100GM","KE SOAP ALOEVERA 100GM","","TAC","TAC",57.2,"100 GM",available,33,18,pcs,1,MA
